img_id	img_url	title	eng_title
118822.jpg	feuerwehr-silvester-tiefgarage-1.jpg	Feuerwehr spricht von ruhigem Silvester – Brand in Garage	Fire Department speaks of calm New Year's Eve - fire in garage
118823.jpg	koeln-feuerwerk-weiser-2.jpg	So schön hat Köln den Jahreswechsel gefeiert	Köln celebrated the turn of the year
118824.jpg	balkon-brennt.jpg	Balkon stand in Flammen – Silvesterrakete wohl Auslöser	Balcony stood in flames - New Year's rocket probably trigger
118825.jpg	silvester-2018.jpg	Zahl gemeldeter Brände mehr als versiebenfacht	Number of reported fires more than sidelines
118826.jpg	milchstrasse-ueber-kreta.jpg	Kölner Fotograf reist für Bilder vom Sternenhimmel um die ganze Welt	Cologne photographer travels for pictures of the starry sky around the whole world
118827.jpg	goering-eckardt-november-2018.jpg	Göring-Eckardt will neue Behörden nur noch im Osten ansiedeln	Göring-Eckardt wants to settle new authorities only in the east
118828.jpg	symbolbild-u-bahn.jpg	Mann gerät in Düsseldorf unter U-Bahn – lebensgefährlich verletzt	Man device in Düsseldorf under subway - injured life-threatening
118829.jpg	manchester-1.jpg	Polizei stuft Messerattacke in Manchester als Terrorismus ein	Police rank knife attack in Manchester as terrorism
118830.jpg	unfall-burscheid-b51-3.jpg	Zwei Schwerverletzte nach Kollision auf B51 bei Burscheid	Two seriously injured after collision on B51 at Burscheid
118831.jpg	tatort-1.jpg	Bud Spencer	Bud Spencer, Karl May and a bit of crime
118833.jpg	robert-habeck-0119.jpg	Habeck widerspricht Nahles zu bedingungslosem Grundeinkommen	Habel contradicts Nahles to unconditional basic income
118834.jpg	kloster-maria-frieden.jpg	Wie die Abtei „Maria Frieden“ ihren Namen erhielt	How the Abbey "Maria Peace" received its name
118835.jpg	b2-tweet-silvester.jpg	US-Militär entschuldigt sich für zynischen Tweet	US military apologizes for cynical tweet
118836.jpg	rennbahn-1.jpg	Silvesterzauber auf der Rennbahn	New Year's Estant on the racetrack
118837.jpg	susanne-dettlaff-281218.jpg	Wirtschaftsförderin Susanne Dettlaff verlässt Frechener Rathaus	Economic Funding Susanne Dettlaff leaves Frechen Town Hall
118838.jpg	unfall-rhein-berg-silvester.jpg	Zahlen leicht unter Durchschnitt – Brände und Einbrüche	Pay slightly below average - fires and burglaries
118840.jpg	feuerwehr-symbolbild-dpa.jpg	Mädchen bewahrt Elternhaus vor Feuer	Girl preserves parents house in front of fire
118841.jpg	010119silvesternacht101.jpg	Touristin auf Toilette vergewaltigt	Tourist raped on toilet
118842.jpg	rettungskraefte-silvesternacht.jpg	Angriffe auf Einsatzkräfte und Streitschlichter in der Neujahrsnacht	Attacks on emergency services and dispute in the New Year's Night
118843.jpg	polizist-zieht-waffe-vor-polizeiauto.jpg	Quettinger bedroht Nachbarn mit Schreckschusspistole	Quettinger threatens neighbors with shot throttle
118844.jpg	schindler-kiel.jpg	Verstärkt Kevin Schindler im Januar den 1. FC Köln?	Will Kevin Schindler reinforce the 1st FC Cologne in January?
118845.jpg	5f9c42006fe98e4a.jpg	Kobayashi siegt erneut knapp vor Eisenbichler	Kobayashi wins again in front of railway
118846.jpg	kita-symbol.jpg	So setzen die Bundesländer das „Gute-Kita-Gesetz“ um	So the federal states put the "good-kita law"
118847.jpg	verkehrsminister-andreas-scheuer.jpg	„Pkw-Maut startet im Oktober 2020“	"Car toll starts in October 2020"
118849.jpg	71-142144886--null--30-12-2018-16-19-52-856-.jpg	Wie die neue Partei „Volt“ 2019 durchstarten will	How the new party "Volt" wants to start through 2019
118850.jpg	lanxess-arena-symbolbild.jpg	Diese Musiker wollen 2019 die Lanxess-Arena füllen	These musicians want to fill the Lanxess Arena in 2019
118851.jpg	neujahrsbaby-dimitra-1-010119.jpg	Dimitra kam kurz nach Mitternacht	Dimitra came shortly after midnight
118852.jpg	190101-uw-feuerwerk-001.jpg	Auf Nummer sicher ins neue Jahr	On number safely into the new year
118855.jpg	russland-baby-explosion.jpg	Baby überlebt Nacht in eisiger Kälte	Baby survives night in icy cold
118856.jpg	tatort-2.jpg	Kurzweilige Western-Parodie mit schwacher Auflösung	Entertaining western parody with weak resolution
118857.jpg	symbolbild-rente.jpg	Verdi kündigt Warnstreiks bei Geldtransporten an	Verdi announces warning strikes for money transports
118858.jpg	innenminister-horst-seehofer-0119.jpg	Seehofer fordert nach Angriffen in Amberg schärfere Gesetze	Seehofer calls for attacks in Amberg sharper laws
118860.jpg	5f9c4200f1c013d8.jpg	Van Gerwen setzt sich gegen Smith die Darts-Krone auf	Van Gerwen opposes Smith's Darts Crown
118862.jpg	jacky-elaine-sorgte-mit-liedern-von-helene-fischer-fuer-tanzspass-.jpg	Auftakt der Burscheider Silvesterfeier geglückt	Stick the Burscheider New Year's Eve party successful
118863.jpg	eine-luxuslimousine-kam-nach-dem-unfall-auf-der-beifahrerseite-zum-stillstand--fahrzeugeteile-wurden-verstreut-.jpg	Zwei Schwerverletzte nach Unfall auf B51	Two seriously injured after accident on B51
118864.jpg	die-spielfreude-der-bayer-philharmoniker-machte-das-konzert-zu-einem-ereignis-.jpg	Letzter Höhepunkt des Jahres	Last highlight of the year
118865.jpg	hinterlassenschaften-der-nacht.jpg	Hinterlassenschaften der Nacht	Legacy of the night
118868.jpg	dom-silvester-polizei.jpg	Die neue Normalität in der Kölner Silvesternacht	The new normality in the Cologne Silvestern Each
118869.jpg	71-142200744--null--01-01-2019-16-16-15-830-.jpg	Fährmann Weibarth über Niedrigwasser und Überschwemmungen vom Rhein	Ferryman Weibarth over low water and floods from the Rhine
118870.jpg	grieche-opladen-laden-1.jpg	Traditionsreicher Laden „Der Grieche“ schließt in Opladen	Traditional shop "The Greek" closes in Opladen
118871.jpg	obst-und-gemuese-dpa.jpg	7 Fallen beim Essen – und wie Sie sie vermeiden	7 fall when eating - and how to avoid it
118872.jpg	71-142209532--null--01-01-2019-18-39-58-512-.jpg	Troidorfer Icedome Publikumsmagnet an Neujahr	Troidorfer Icedome audience magnet on New Year
118873.jpg	begraebniswald-reuterstrasse.jpg	Pläne für Waldfriedhof wecken in Overath Stirnrunzeln	Plans for Waldfriedhof Wecken in Overath Fruntrunzeln
118876.jpg	weisses-haus-020119.jpg	Trump will „Deal“ mit Demokraten machen	Trump wants to make "Deal" with Democrats
118877.jpg	nashorn-zoo-symbol.jpg	Kind in Zoo in den USA von Nashorn attackiert	Child in zoo in the USA attacks rhino
118878.jpg	euromuenzen.jpg	Euro-Staaten wollen Münzen im Milliardenwert produzieren	Euro states want to produce coins in billions
118879.jpg	michael-schumacher.jpg	Michael Schumachers Familie hat Botschaft an die Fans	Michael Schumacher's family has embassy to the fans
118923.jpg	71-142203257--null--01-01-2019-19-10-07-527-.jpg	Die Kölner Kultur-Highlights für das Jahr 2019	The Cologne cultural highlights for the year 2019
118881.jpg	bolsonaro-vereidigung.jpg	Bolsonaro will „Befreiung vom politisch Korrekten“ – Beifall von Trump	Bolsonaro wants "liberation from the politically correct" applause of Trump
118882.jpg	71-142209582--null--01-01-2019-19-07-21-102-.jpg	Viele Einsätze in der Silvesternacht für Bonner Polizei	Many assignments in the New Year's Day for Bonn police
118883.jpg	71-142207635--null--01-01-2019-18-09-12-194-.jpg	So unterschiedlich hat Rhein-Berg das neue Jahr begrüßt	Rhein-Berg welcomed the new year
118884.jpg	leverkusen-autobahnbruecke-krieger2.jpg	Einstehen für Menschen	Pricing for people who live here
118885.jpg	helfer-inklusive-kurt-schroeder-aus-schaven.jpg	Das tut der Kreisverband Naturschutz für die Grube Rolf	This does the district association nature conservation for the pit Rolf
118886.jpg	71-142207458--null--01-01-2019-16-36-20-651-.jpg	"Eine Partie „Kindheit"" mit Gerd Overlack und Jim Boeven"	A game of "childhood" with Gerd Overlack and Jim Boeven
118899.jpg	madonna-020119.jpg	Schwulenklub bedankt sich bei Madonna und Sohn David	Gay club thanks Madonna and son David
118887.jpg	bottrop-autofahrer-020119.jpg	Zahl der Verletzten in Bottrop und Essen erhöht sich	Number of injured in bottrop and food increases
118889.jpg	donut-polizei.jpg	US-Polizei „trauert“ um ganz besondere LKW-Ladung	US Police "Mrys" about very special truck load
118890.jpg	71-142200692--null--01-01-2019-19-13-06-614-.jpg	Kürtener nähen Taschen mit Flüchtlingen – Ausstellung im Rathaus	County sewing bags with refugees - exhibition in the town hall
118891.jpg	71-142198532--null--01-01-2019-18-53-22-684-.jpg	Auf den Fersen unseres Autors zu Fuß durch Siegburg	On the heels of our author walking through Siegburg
118892.jpg	haeusliche-gewalt-symbolbild.jpg	Hilfsangebote für Frauen	Help offers for women who are in need - high dark figures
118893.jpg	mar%C3%ADa-fern%C3%A1ndez.jpg	"„In Deutschland sind Menschen mit Umgebung befreundet"""	"In Germany, people are friends with surroundings"
118894.jpg	71-142202887--null--01-01-2019-19-20-30-517-.jpg	"Frechenerin: „Ich spüre den Druck heute noch"""	Frechener: "I still feel the pressure today"
118896.jpg	71-142201976--null--01-01-2019-16-50-24-686-.jpg	SV Frielingsdorf kann ab sofort seine Räume wieder nutzen	SV Frielingsdorf can now use his rooms again
118898.jpg	tief-zeetje-ostsee.jpg	Starker Sturm beschäftigt Einsatzkräfte im Norden	Strong storm employs emergency services in the north
118901.jpg	71-142197668--null--02-01-2019-11-31-16-740-.jpg	So läuft ein Notdienst in der Silvesternacht	So runs an emergency service in the New Year's Eve
118903.jpg	koffer-mit-gepaeckbanderole.jpg	Künftig sollen Passagiere immer wissen	In the future, passengers should always know where their suitcase is straight
118905.jpg	waschmaschine.jpg	Bloß keine Wäsche waschen während der „zwölf Nächte“	Just wash laundry during the "twelve nights"
118908.jpg	steereon2.jpg	Diese Start-ups könnten 2019 durchstarten	These start-ups could start in 2019
118909.jpg	merkel-020119.jpg	Merkel kommt nicht nach Demmin	Merkel does not come after demin
118911.jpg	partyschiff-gesunken.jpg	Gesunkenes Partyschiff könnte bald geborgen werden	Nied party ship could soon be recovered
118912.jpg	silvesterbabys-020119.jpg	Diese Eltern aus Rhein-Erft hatten einen unvergesslichen Jahreswechsel	These parents from Rhine-Erft had an unforgettable New Year
118913.jpg	afp-1bi8t5.jpg	Angreifer erschießen Bürgermeister Stunden nach Amtsantritt	Attackers shoot Mayor hours after taking office
118914.jpg	deutzer-bruecke.jpg	Was 2019 in Köln wichtig wird	What will be important in Cologne in 2019
118916.jpg	babys-charakter.jpg	Wie Kinder ihre eigene Persönlichkeit entwickeln	How children develop their own personality
118917.jpg	selfie-mit-kunstwerk.jpg	Im Museum – von diesen Kunstwerken sollten Sie keine Fotos machen	In the museum - from these works of art you should not take pictures
118918.jpg	arbeitsmarkt-020119.jpg	Zahl der Erwerbstätigen auf Rekord seit Wiedervereinigung	Number of workers on record since reunification
118920.jpg	geisterbahn-dpa.jpg	Vater verprügelt Schausteller nach Grusel-Auftritt	Father beats showmen to Grusel appearance
118922.jpg	koschinat-sandhausen.jpg	Uwe Koschinat sorgt sich um Fortuna Köln	Uwe Koschinat cares about Fortuna Cologne
118924.jpg	5f9b1200972a3318.jpg	SPD in Brandenburg nur noch gleichauf mit der AfD	SPD in Brandenburg only equal to the AFD
118925.jpg	haie-rok-ticar.jpg	KEC hofft auf Spielerlaubnis für Ticar	KEC hopes for player license for Ticar
118926.jpg	eisenbichler-garmisch.jpg	Markus Eisenbichler will „Abstand vom Trubel nehmen“	Markus Eisenbichler wants to "take a distance from the hustle and bustle"
118927.jpg	tatort-bottrop-berliner-platz.jpg	Seehofer sollte auch rechter Terror zuwider sein	Seehofer should also be back right terror
118928.jpg	schuster-eisenbichler.jpg	Werner Schuster ist der Vater des Erfolgs	Werner Schuster is the father of success
118936.jpg	foto-george.jpg	Der freche George ist die Nummer Eins	The cheeky George is the number one
118937.jpg	zwerg-seidenhuhn-much.jpg	Nur das ausgeruhte Huhn ist schön	Only the rested chicken is beautiful
118938.jpg	capitol-kerpen-281218.jpg	Das Kerpener Capitol feiert 2019 sein 70-jähriges Bestehen	The Kerpener Capitol celebrates its 70th anniversary in 2019
118939.jpg	der-alte-bahndam-zwischen-gladbach-und-bensberg.jpg	Gladbach zahlt mehr als 30.000 Euro für Studie zu „Cargocap“-System	Gladbach pays more than 30,000 euros for study on "Cargocap" system
118940.jpg	flamersheim-baugebiet-sportplatz.jpg	Euskirchen braucht bis 2040 mehr als 2900 Wohnungen mehr	Euskirchen needs more than 2900 apartments up to 2040
118941.jpg	burkhard-thom-buch-hund.jpg	Burkhard Thom veröffentlicht dritte Hundeanthologie	Burkhard Thom released third dog athology
118942.jpg	tirana-skanderbegplatz.jpg	Albaniens Sehnsucht nach Europa	Albania longing for Europe
118943.jpg	5f9c44001ad02a54.jpg	Urnen in Nordsee angespült – Reederei gesteht Panne ein	Urns in North Sea paste - shipping company admits breakdown
118946.jpg	afp-1bs9zb.jpg	Franzosen haben wenig Vertrauen in Macrons Reformen	French have little confidence in Macron reforms
118948.jpg	kirchenfenster-st--remigius-1--1-.jpg	Kirchenfenster von St. Remigius durch Böller zerstört	Church window of St. Remigius destroyed by Böller
118949.jpg	capitol-hill.jpg	Die neue Macht der Demokraten	The new power of Democrats
118950.jpg	christkind-020119.jpg	126.000 Briefe beantwortet das Christkind in Engelskirchen	126,000 letters answered the Christkind in Engelskirchen
118951.jpg	5f9afa00549f0f82.jpg	Kino bekommt Bombendrohung nach Gratis-Aktion	Cinema gets bombing after free action
118952.jpg	20180210max-geister02.jpg	Geisterzug stellt besseren Radverkehr in den Mittelpunkt	Ghost train puts better cycling at the center
118954.jpg	img-4407.jpg	Randalierer demolieren abermals Blitzer am Auenweg	Randalator thermone again a speed camera at the Auenweg
118955.jpg	gerd-fingerhuth-020119.jpg	Gerhard Fingerhuth geht nach 44 Jahren in Ruhestand	Gerhard Finger Huth is retired after 44 years
118957.jpg	kobayashi.jpg	Ryoyu Kobayashi im Rausch der Geschwindigkeit	Ryoyu Kobayashi in the intoxication of speed
118958.jpg	gequaelte-katze-halle2.jpg	Kinder verbrennen Katzenpfötchen mit Feuerwerkskörpern	Children burn cat paws with fireworks
118960.jpg	polizei-feuer-schlebusch-laube.jpg	Laube brannte an Schule in Schlebusch	Arbor burned to school in Schlebusch
118961.jpg	feuerwerk-symbolbild.jpg	Dreifache Mutter an Silvester durch Metallsplitter getötet	Three times mother killed on New Year's Eve by metal splinters
118962.jpg	silvester-rheinsieg-020119.jpg	Kommunen beschweren sich über Müllberge durch Silvesterböller	Municipalities complain about Müllberge by New Year's EveBöller
118963.jpg	020119fasten001.jpg	Wieso zwei Lokalredakteure im Januar einen Fastenmonat einlegen	Why two local editors in January insert a fast month
118964.jpg	71-142229920--null--02-01-2019-17-35-38-711-.jpg	Jahresheft der Nümbrechter „Heimat-Klänge“ erscheint	Annual budget of the Nümbrecht "home sounds" appears
118965.jpg	71-141960606--null--02-01-2019-17-43-02-777-.jpg	Praktische Hilfe für das kaputte System „Familie“	Practical help for the broken system "Family"
118966.jpg	71-141963354--null--02-01-2019-17-42-19-325-.jpg	Diese Familie gibt Kindern aus schwierigen Verhältnissen ein Heim	This family gives children from difficult conditions a home
118967.jpg	erweiterung-des-gewerbegebietes-klause.jpg	16 Firmen mit Interesse an Klause V	16 companies with interest in Klause V
118968.jpg	cottbus.jpg	Stadt Cottbus sorgt mit Erklärung zu Messerangriff für Kritik	City Cottbus provides with statement about knife attack for criticism
118969.jpg	71-142229646--null--02-01-2019-17-19-37-093-.jpg	Freilichtmuseum lädt ein zu einem Symposium	Open-air museum invites you to a symposium
118970.jpg	gereon-eich-polizei-euskirchen-020119.jpg	Euskirchens Polizeioberrat wird Chef der Autobahnpolizei	Euskirchen police council becomes boss of the highway police
118971.jpg	71-142233417--null--02-01-2019-18-05-18-399-.jpg	Die hohen Sicherheitsvorkehrungen werden als Erfolg gewertet	The high safety precautions are considered a success
118972.jpg	landgericht-bonn.jpg	93-Jährige aus Bonn soll nach 30 Jahren ihre Wohnung räumen	93-year-old from Bonn should clear their apartment after 30 years
118973.jpg	autoknacker.jpg	16-jährige Diebe flüchten vor Kölner Polizei	16-year-old thieves flee in front of Cologne police
118975.jpg	berliner-platz-bottrop.jpg	Anschlag von Bottrop löst schwierige Begriffsdebatte aus	Bottrop stop triggers difficult concepts debate
118976.jpg	linie-66.jpg	Neues Klima-Ticket ist bislang ein Ladenhüter	New Climate Ticket is so far a shopkeeper
118977.jpg	71-142250762--null--02-01-2019-18-35-34-324-.jpg	Wilfried Schumacher soll seelsorgerische Aufgabe erhalten	Wilfried Schumacher is to receive pastoral task
118978.jpg	71-142251095--null--02-01-2019-18-38-29-221-.jpg	Präventionskampagne „Bunt statt blau“ startet	Prevention campaign "colored instead of blue" starts
118979.jpg	amberg.jpg	Abschiebung der Tatverdächtigen nicht möglich	Deportation of the suspects not possible
118980.jpg	karl-hamacher-020119.jpg	Ältester Diakon im Erzbistum Köln mit 105 Jahren gestorben	Elder deacon died in the archdiocese of Cologne at 105 years
118981.jpg	bottrop-anschlag.jpg	Attentäter wütete im Verhör über „Kanaken“ und „Schwarzfüße“	Assassin raged in interrogation about "Kanaken" and "black feet"
118984.jpg	ticar-haie.jpg	Kölner Haie gewinnen 5:2 gegen Ingolstadt	Kölner Haie win 5: 2 against Ingolstadt
118985.jpg	amberg--1-.jpg	Rechtsextreme patrouillieren in Amberg	Right-wing extremist patrolling in Amberg
118993.jpg	den-wald-der-zukunft-pflanzt-foerster-juergen-greissner-bei-immekeppel-.jpg	Nachhilfe für den Wald	Tuition for the forest
118994.jpg	diese-laube-wurde-in-der-nacht-zu-mittwoch-angesteckt-.jpg	Polizei sucht nach Feuer an Schule Brandstifter	Police are looking for fire to school arsonist
118995.jpg	71-142150835--null--02-01-2019-17-43-12-858-.jpg	Kölner darf Appartment nicht mehr vermieten – wegen fehlender „Besonnung“	Kölner can no longer rent apartment - because of missing "definition"
118996.jpg	feuerwehr-wache-wiesdorf-4.jpg	Neue Hauptwache in Wiesdorf steht vor der Vollendung	New Hauptwache in Wiesdorf is standing before the completion
118997.jpg	krankenhaus-mechernich.jpg	Kirchlicher Besuchsdienst in Eifeler Krankenhäusern eingestellt	Church visiting service set in Eifeler hospitals
118998.jpg	kr-revg-busbahnhof-horrem-ftz--5-.jpg	Rhein-Erft-Verkehrsgesellschaft ab jetzt mit eigenen Bussen unterwegs	Rhein-Erft-Transport Company from now on traveling
118999.jpg	babysitter-kinderbetreuung.jpg	Babysitter erzählen	Babysitter tell, which oblique rules they had to follow
119000.jpg	lutz-urbach.jpg	Lutz Urbach gibt Ausblick – diese Themen werden 2019 wichtig	Lutz Urbach gives outlook - these topics will be important in 2019
119001.jpg	zanders-bergisch-gladbach-020119.jpg	Zanders	Zanders, Schloßstraße, F-Plan - Where is Bergisch Gladbach in early 2019?
119003.jpg	china-mond.jpg	China gelingt Landung auf „dark side of the moon“	China succeeds landing on "Dark Side of the Moon"
119004.jpg	pelosi-nach-trump-treffen.jpg	Kein Ergebnis bei Treffen der Demokraten mit Trump	No result at meeting the Democrats with Trump
119005.jpg	michael-jackson.jpg	Vom Jungen Rheinland über Edvard Munch bis zu Michael Jackson	From Young Rhineland over Edvard Munch to Michael Jackson
119006.jpg	leverkusen-autobahn3-alf-8201.jpg	Straßen NRW hat 2018 Rekordsumme für Autobahnen ausgegeben	Streets NRW spent in 2018 records of highways
119007.jpg	ocean-cleanup-2.jpg	Aus für Riesen-Müllfänger „Ocean Cleanup“	Off for giant landfolders "Ocean Cleanup"
119008.jpg	71-142230578--null--02-01-2019-17-26-06-915-.jpg	Reichshof geht begründet zuversichtlich ins 50. Jahr	Reichshof is justifying confident in the 50th year
119010.jpg	kaiserstrasse-historisches-foto-020119.jpg	Als der Jahrhundertwinter in den Rhein-Sieg-Kreis einfiel	As the century winter in the Rhine-win circle
119011.jpg	tv-herkenrath-020119.jpg	TV Herkenrath steht vor dem bitteren Aus	TV Herkenrath is standing out in front of the bitter
119012.jpg	stefan-hebbel.jpg	Bei Stefan Hebbel muss Kochen Spaß machen	At Stefan Hebbel, cooking must be fun
119013.jpg	weinlokal-rheinerft-04.jpg	Diese Weinlokale locken in den Rhein-Erft-Kreis	These winelocal lures in the Rhine-Erft-Kreis
119014.jpg	zuchtbulle-devito-aus-berg-mit-stefan-crump-und-norbert-bierth.jpg	Mit 1300 Kilo hat Devito echte Modelmaße	With 1300 kilos Devito has real model measurements
119057.jpg	jochen-humberg-will---nach-acht-jahren-im-amt---den-vorsitz-im-buergerverein-abgeben-.jpg	„Umgehungsstraße hat höchste Priorität“	"Bypass road has the highest priority"
119482.jpg	durch-die-hauseingaenge-ist-die-situation-auf-dem-rad--fussweg-oft-gefaehrlich-.jpg	Gefährliches Miteinander im Bilderstöckchen	Dangerous with each other in the picture
119154.jpg	in-diesem-gebaeude-will-der-eigentuemer-des-bonntor-centers-einen-veranstaltungssaal-einrichten-.jpg	Eigentümer reicht Klage gegen Stadt ein	Owner plains action against city
119015.jpg	rudolf-trum--der-letzte-stadtdirektor-von-porz--vor-einigen-jahren-an-der-groov--er-war-ein-passionierter-wassersportler-.jpg	Letzter Porzer Stadtdirektor starb mit 91 Jahren	Last porter city director died at 91 years
119016.jpg	das-wappen-der-baeckerinnung-ueber-der-tuer-soll-erhalten-bleiben-.jpg	Abbruch steht unmittelbar bevor	Cancel is imminent
119017.jpg	trump-030119.jpg	Donald Tump stänkert wieder gegen Deutschland	Donald Trump stalks again against Germany
119018.jpg	71-142242366--null--03-01-2019-09-25-38-488-.jpg	„Die Sea-Watch 3 braucht Unterstützung“	"The Sea-Watch 3 needs support"
119020.jpg	71-142233172--null--02-01-2019-18-05-19-717-.jpg	Das große Saubermachen nach der Silvesterfeier in Köln	The great cleaning after the New Year's Eve in Cologne
119021.jpg	ilona-schmitz-aus-soetenich---kandidatin-bei-rosins-fettkampf.jpg	Ilona Schmitz aus Sötenich speckt mit Fernsehkoch ab	Ilona Schmitz from Sötenich has a TV cook
119022.jpg	329c4600a38cd36b.jpg	Netflix warnt vor „Bird Box“-Challenge	Netflix warns in front of "Bird Box" challenge
119023.jpg	kaese-symbol.jpg	Neun Monate Haft für Käse-Dieb von der Venloer	Nine months imprisonment for cheese thief from Venloer
119024.jpg	71-142229310--null--02-01-2019-17-21-07-029-.jpg	Schwalbe-Arena wird am Samstag zum Eispalast	Schwalbe-Arena becomes an ice palace on Saturday
119025.jpg	windecker-studentin-2-1-19.jpg	Windecker Studentin gibt Tipps zur Obstaufbewahrung	Windecker student gives tips on the condition
119026.jpg	muellabfuhr-dpa.jpg	Moitzfelder sammelt Silvestermüll von Straße – Abfuhr lässt es liegen	Moitzfelder collects New Year's Collar from road - removal lies
119027.jpg	klopp-pep.jpg	Das Duell der Großmeister	The duel of the grandmaster
119028.jpg	sternsinger-st--engelbert.jpg	Nachwuchsprobleme bei Sternsingern – Spenden für behinderte Kinder	Provisional problems with star singers - donations for disabled children
119029.jpg	solarradweg-erftstadt-anzeige.jpg	Anzeige am Solarradweg funktioniert immer noch nicht	Display on the solar bike path still does not work
119030.jpg	daenemark-belt-bergungsarbeiten.jpg	Zahl der Opfer nach Zugunglück in Dänemark steigt	Number of victims after train accident in Denmark is rising
119031.jpg	bundespolizei-am-hbf.jpg	Exhibitionist uriniert in Dienststelle der Bundespolizei	Exhibitionist urinates in the Federal Police Department
119032.jpg	5f9c4200c01698b7.jpg	Große Mehrheit der Deutschen für Böllerverbote	Great majority of Germans for Böllerverbote
119033.jpg	kim-jong-un-030119.jpg	Kim Jong Uns Diplomat setzt sich ab	Kim Jong us diplomat sets off
119034.jpg	claudia-11-jahre-1996-ermordert.jpg	Mord an elfjähirger Claudia – Ermittler verfolgen neuen Ansatz	Murder of eleven birth Claudia - investigators pursue new approach
119036.jpg	gewerbsmaesziger-diebstahl02.jpg	Kölner Polizei fahndet nach Wettbüro-Dieben	Cologne police are looking for Betting Office Die
119038.jpg	der-gesuchte-mann.jpg	Vermissten Rösrather zuletzt in Köln geortet	Missing Rösrather recently located in Cologne
119039.jpg	titanic-wrack-museum.jpg	Im Sommer können Touristen das Wrack der Titanic besuchen	In summer, tourists can visit the Wreck of Titanic
119040.jpg	fahrrad-faehrt-auf-fahrradweg.jpg	42-Jährige in Hürth von drei Männern überfallen	42-year-old in Hürth of three men attacked
119041.jpg	joerg-kachelmann-dpa.jpg	Kachelmann-Comeback mit Lampenfieber	Kachelmann comeback with lamp fever
119042.jpg	flughafen-koeln-data.jpg	Ryanair lässt 19-Jährigen im Rollstuhl nicht mitfliegen	Ryanair does not fly 19-year-old in a wheelchair
119046.jpg	euronics-bruehl-030119.jpg	Euronics-Filiale in Brühl schließt Ende Januar	Euronics branch in Brühl closes at the end of January
119049.jpg	71-142235151--null--02-01-2019-17-15-08-114-.jpg	Weihnachten und Neujahr fern der Heimat	Christmas and New Year remote home
119050.jpg	ko-samui-chaweng-thailand.jpg	Thailand-Urlauber fliehen vor „Pabuk“	Thailand vacationers flee in front of "Pabuk"
119051.jpg	leon-draisaitl-nhl.jpg	100 Scorerpunkte sind keine Utopie mehr	100 scorer points are no more utopia
119052.jpg	71-141747307--null--02-01-2019-15-11-38-691-.jpg	Mehr Platz für Natur und Umweltbildung	More space for nature and environmental education
119054.jpg	eu-schauspiel-patientin-jule-rueber-04.jpg	Euskirchener Schauspielerin trainiert mit angehenden Ärzten	Euskirchen actress trains with prospective doctors
119060.jpg	schumacher-todt-181012.jpg	Zahlreiche Glückwünsche für Michael Schumacher zum 50.	Numerous congratulations for Michael Schumacher to the 50th
119061.jpg	lidl-regal-supermarkt.jpg	Tschechische Supermärkte müssen Lebensmittel zum Gemeinwohl abgeben	Czech supermarkets have to deliver food to the common good
